Id,Description,Date,notificationType,notificationModule
911,Expense due within 7 days: Building Rent,08/19/2023,Urgent,Expense
912,Expense due within 7 days: Insurance,08/19/2023,Urgent,Expense
913,Very Low Inventory for: Product_19003,08/20/2023,Urgent,Inventory
914,Low Inventory for: Product_19006,08/20/2023,Warning,Inventory
915,Low Inventory for: Product_19010,08/20/2023,Warning,Inventory
916,Very Low Inventory for: Product_19011,08/20/2023,Urgent,Inventory
917,Very Low Inventory for: Product_19015,08/20/2023,Urgent,Inventory
918,Very Low Inventory for: Product_19019,08/20/2023,Urgent,Inventory
919,Low Inventory for: Product_19023,08/20/2023,Warning,Inventory
920,Very Low Inventory for: Product_19041,08/20/2023,Urgent,Inventory
921,Low Inventory for: Product_19043,08/20/2023,Warning,Inventory
922,Very Low Inventory for: Product_19049,08/20/2023,Urgent,Inventory
